#time	xcom	ycom	zcom	vxcom	vycom	vzcom
0.0	-378.0	611.0	-285.0	74.0	-71.9	48.7
14.2857	-377.0	610.0	-284.0	73.6	-71.7	48.1
28.5714	-376.0	609.0	-283.0	73.4	-73.4	50.6
42.8571	-375.0	608.0	-282.0	73.2	-72.6	49.5
57.1429	-374.0	607.0	-282.0	75.2	-73.6	49.0
71.4286	-372.0	606.0	-281.0	74.8	-74.7	50.0
85.7143	-371.0	605.0	-280.0	75.7	-75.5	49.5
100.0	-370.0	604.0	-280.0	73.6	-75.3	50.4
114.286	-369.0	603.0	-279.0	74.3	-75.5	49.5
128.571	-368.0	602.0	-278.0	74.3	-75.0	48.5
142.857	-367.0	601.0	-277.0	74.5	-74.8	48.4
157.143	-366.0	600.0	-277.0	75.7	-76.3	50.6
171.429	-365.0	599.0	-276.0	75.2	-76.4	50.1
185.714	-364.0	598.0	-275.0	74.6	-77.3	51.2
200.0	-363.0	597.0	-275.0	75.1	-76.7	50.3
214.286	-362.0	595.0	-274.0	73.2	-76.6	50.5
228.571	-361.0	594.0	-273.0	75.3	-76.9	48.5
242.857	-360.0	593.0	-273.0	74.8	-77.9	49.1
257.143	-359.0	592.0	-272.0	74.0	-77.4	48.0
271.429	-357.0	591.0	-271.0	73.4	-77.9	49.2
285.714	-356.0	590.0	-270.0	72.8	-79.5	49.1
300.0	-355.0	589.0	-270.0	74.0	-80.9	49.6
314.286	-354.0	588.0	-269.0	72.2	-78.7	48.1
328.571	-353.0	586.0	-268.0	73.8	-80.3	48.8
342.857	-352.0	585.0	-268.0	72.9	-80.7	48.9
357.143	-351.0	584.0	-267.0	72.8	-82.0	47.7
371.429	-350.0	583.0	-266.0	73.0	-81.8	47.5
385.714	-349.0	582.0	-266.0	72.9	-82.2	48.0
400.0	-348.0	581.0	-265.0	71.5	-83.0	48.3
414.286	-347.0	580.0	-264.0	69.9	-81.8	47.1
428.571	-346.0	578.0	-264.0	70.5	-83.4	47.0
442.857	-345.0	577.0	-263.0	69.9	-84.4	47.3
457.143	-344.0	576.0	-262.0	68.5	-84.2	47.2
471.429	-343.0	575.0	-262.0	69.5	-84.5	46.2
485.714	-342.0	574.0	-261.0	68.6	-84.7	48.0
500.0	-341.0	572.0	-260.0	67.3	-84.5	46.8
514.286	-340.0	571.0	-260.0	67.6	-85.0	48.1
528.571	-339.0	570.0	-259.0	66.9	-85.0	48.0
542.857	-338.0	569.0	-258.0	67.1	-85.7	47.5
557.143	-337.0	567.0	-258.0	66.7	-85.1	46.9
571.429	-337.0	566.0	-257.0	64.5	-84.0	46.9
585.714	-336.0	565.0	-256.0	64.7	-84.5	46.6
600.0	-335.0	564.0	-255.0	63.7	-83.7	46.1
614.286	-334.0	563.0	-255.0	63.3	-84.2	47.0
628.571	-333.0	561.0	-254.0	61.6	-83.6	46.4
642.857	-332.0	560.0	-254.0	61.7	-83.8	45.4
657.143	-331.0	559.0	-253.0	59.5	-82.8	45.1
671.429	-330.0	558.0	-252.0	59.9	-82.1	43.3
