#time	xcom	ycom	zcom	vxcom	vycom	vzcom
0.0	-1.37	2.56	-1.43	-0.676	2.0	-1.95
14.2857	-1.38	2.51	-1.45	-2.14	0.694	-0.462
28.5714	-1.28	2.61	-1.46	-1.44	0.971	-1.75
42.8571	-1.46	2.61	-1.48	-1.74	5.09	-1.1
57.1429	-1.37	2.58	-1.48	-2.64	4.09	-0.948
71.4286	-1.41	2.67	-1.48	-3.55	4.59	-0.465
85.7143	-1.41	2.6	-1.49	-4.4	5.91	-1.18
100.0	-1.34	2.7	-1.52	-4.53	3.03	-1.82
114.286	-1.61	2.88	-1.54	-3.89	6.16	-0.888
128.571	-1.64	2.89	-1.55	-4.28	5.41	-1.25
142.857	-1.63	2.9	-1.57	-5.79	6.25	-0.872
157.143	-1.85	2.96	-1.58	-6.52	7.98	-1.43
171.429	-1.9	3.04	-1.6	-7.72	8.68	-0.0372
185.714	-1.86	3.09	-1.6	-5.95	8.09	-0.209
200.0	-2.02	3.2	-1.61	-7.39	7.0	-0.00241
214.286	-2.21	3.36	-1.6	-3.82	8.36	0.0833
228.571	-2.19	3.42	-1.6	-3.93	7.93	-0.382
242.857	-2.27	3.5	-1.6	-5.55	7.8	0.674
257.143	-2.33	3.65	-1.61	-4.37	8.92	-0.374
271.429	-2.45	3.67	-1.61	-4.93	9.46	-0.218
285.714	-2.46	3.79	-1.61	-3.83	9.13	-0.298
300.0	-2.51	3.89	-1.61	-4.9	8.28	0.838
314.286	-2.53	3.94	-1.61	-3.23	7.23	1.42
328.571	-2.59	4.01	-1.59	-4.57	9.0	0.621
342.857	-2.58	3.96	-1.58	-6.78	7.79	0.577
357.143	-2.63	4.36	-1.57	-3.68	7.73	0.449
371.429	-2.71	4.4	-1.58	-4.93	8.04	-0.387
385.714	-2.74	4.59	-1.57	-6.89	7.25	-0.671
400.0	-2.8	4.58	-1.59	-7.23	7.47	-1.43
414.286	-3.02	4.56	-1.62	-7.57	8.91	-2.49
428.571	-3.15	4.76	-1.65	-6.97	10.7	-2.13
442.857	-3.3	4.82	-1.68	-8.87	11.2	-1.65
457.143	-3.31	5.18	-1.71	-3.77	10.0	-1.8
471.429	-3.46	5.19	-1.75	-6.05	9.77	-3.42
485.714	-3.47	5.33	-1.79	-5.71	10.3	-2.42
500.0	-3.46	5.59	-1.82	-4.97	9.35	-2.83
514.286	-3.65	5.67	-1.88	-2.39	10.5	-2.35
528.571	-3.68	5.83	-1.91	-3.41	9.15	-2.81
542.857	-3.72	5.96	-1.96	-3.64	8.35	-3.02
557.143	-3.76	6.07	-2.01	-2.04	8.39	-3.75
571.429	-3.68	6.12	-2.04	-3.71	6.94	-2.21
585.714	-3.67	6.17	-2.08	-4.23	5.37	-2.47
600.0	-3.7	6.26	-2.12	-6.08	5.18	-1.33
614.286	-3.73	6.45	-2.14	-4.57	4.02	-2.18
628.571	-3.82	6.49	-2.17	-4.46	5.27	-2.73
642.857	-3.92	6.57	-2.2	-6.26	5.52	-2.04
657.143	-4.02	6.68	-2.22	-4.74	6.48	0.00124
671.429	-4.25	6.81	-2.23	-6.23	7.62	-0.881
685.714	-4.29	6.85	-2.24	-6.58	9.57	-0.342
700.0	-4.38	7.01	-2.27	-7.69	8.44	-1.4
714.286	-4.46	7.15	-2.29	-7.33	9.16	-1.04
728.571	-4.53	7.27	-2.31	-8.58	10.2	-1.9
742.857	-4.71	7.48	-2.35	-7.5	13.3	-2.49
757.143	-4.77	7.71	-2.4	-6.06	12.7	-3.3
771.429	-4.71	7.74	-2.46	-7.02	11.1	-5.79
785.714	-4.7	7.92	-2.54	-6.92	10.5	-6.19
800.0	-4.86	8.15	-2.63	-5.76	11.0	-5.95
814.286	-4.9	8.26	-2.73	-5.82	9.83	-7.22
828.571	-4.98	8.39	-2.84	-7.04	8.5	-9.35
842.857	-5.09	8.61	-2.97	-6.99	9.92	-9.81
857.143	-5.15	8.65	-3.11	-8.22	8.04	-9.37
871.429	-5.25	8.83	-3.24	-9.51	9.91	-8.88
885.714	-5.43	8.99	-3.36	-9.6	10.8	-7.69
900.0	-5.55	9.14	-3.44	-11.5	8.71	-7.68
914.286	-5.77	9.39	-3.54	-10.3	11.2	-7.44
928.571	-5.92	9.51	-3.69	-9.18	9.96	-9.36
942.857	-6.1	9.63	-3.8	-9.85	10.8	-8.56
957.143	-6.15	9.75	-3.92	-10.4	10.7	-8.56
971.429	-6.23	9.94	-4.05	-8.63	6.81	-9.67
985.714	-6.44	10.0	-4.18	-8.54	9.34	-9.41
1000.0	-6.57	10.3	-4.3	-5.88	8.7	-8.16
1014.29	-6.68	10.5	-4.42	-5.71	9.81	-7.74
1028.57	-6.76	10.5	-4.53	-5.99	9.22	-8.11
1042.86	-6.82	10.6	-4.63	-7.12	8.87	-7.91
1057.14	-6.87	10.8	-4.76	-6.46	9.54	-8.27
1071.43	-7.01	11.1	-4.87	-4.29	10.5	-8.54
1085.71	-7.05	11.2	-5.0	-6.29	11.8	-9.34
1100.0	-7.14	11.4	-5.15	-5.68	13.3	-10.6
1114.29	-7.25	11.6	-5.29	-7.37	14.9	-10.3
1128.57	-7.32	11.9	-5.44	-6.7	14.0	-11.6
1142.86	-7.48	12.1	-5.62	-6.27	16.2	-10.2
1157.14	-7.57	12.2	-5.77	-7.85	16.2	-10.4
1171.43	-7.72	12.4	-5.92	-10.2	15.4	-10.8
1185.71	-7.79	12.8	-6.09	-7.27	15.9	-10.8
1200.0	-7.96	12.9	-6.23	-8.36	17.4	-11.7
1214.29	-8.08	13.2	-6.4	-8.73	16.8	-10.9
1228.57	-8.24	13.4	-6.54	-9.91	16.9	-11.0
1242.86	-8.32	13.7	-6.7	-9.74	17.7	-11.7
1257.14	-8.34	14.1	-6.86	-8.25	17.0	-10.3
1271.43	-8.53	14.3	-7.01	-7.25	18.2	-10.1
1285.71	-8.68	14.5	-7.15	-7.98	18.4	-11.0
1300.0	-8.8	14.8	-7.32	-8.51	18.6	-11.6
