Time	x	y	z	vx	vy	vz
0.0	200.0	0.0	0.0	0.0	164.5	0.0
0.01	200.0	1.645	0.0	-1.353	164.5	0.0
0.02	200.0	3.29	0.0	-2.706	164.5	0.0
0.03	199.9	4.935	0.0	-4.059	164.5	0.0
0.04	199.9	6.579	0.0	-5.411	164.4	0.0
0.05	199.8	8.223	0.0	-6.763	164.4	0.0
0.06	199.8	9.866	0.0	-8.115	164.3	0.0
0.07	199.7	11.51	0.0	-9.466	164.2	0.0
0.08	199.6	13.15	0.0	-10.82	164.1	0.0
0.09	199.5	14.79	0.0	-12.17	164.1	0.0
0.1	199.3	16.43	0.0	-13.51	163.9	0.0
0.11	199.2	18.07	0.0	-14.86	163.8	0.0
0.12	199.0	19.71	0.0	-16.21	163.7	0.0
0.13	198.9	21.34	0.0	-17.56	163.6	0.0
0.14	198.7	22.98	0.0	-18.9	163.4	0.0
0.15	198.5	24.61	0.0	-20.24	163.3	0.0
0.16	198.3	26.24	0.0	-21.59	163.1	0.0
0.17	198.0	27.87	0.0	-22.93	162.9	0.0
0.18	197.8	29.5	0.0	-24.27	162.7	0.0
0.19	197.6	31.13	0.0	-25.6	162.5	0.0
0.2	197.3	32.75	0.0	-26.94	162.3	0.0
0.21	197.0	34.37	0.0	-28.27	162.1	0.0
0.22	196.7	35.99	0.0	-29.6	161.8	0.0
0.23	196.4	37.61	0.0	-30.93	161.6	0.0
0.24	196.1	39.22	0.0	-32.26	161.3	0.0
0.25	195.8	40.84	0.0	-33.59	161.0	0.0
0.26	195.4	42.44	0.0	-34.91	160.8	0.0
0.27	195.1	44.05	0.0	-36.23	160.5	0.0
0.28	194.7	45.65	0.0	-37.55	160.2	0.0
0.29	194.3	47.25	0.0	-38.87	159.8	0.0
0.3	193.9	48.85	0.0	-40.18	159.5	0.0
0.31	193.5	50.44	0.0	-41.49	159.2	0.0
0.32	193.1	52.03	0.0	-42.8	158.8	0.0
0.33	192.7	53.62	0.0	-44.1	158.5	0.0
0.34	192.2	55.2	0.0	-45.41	158.1	0.0
