Time	x	y	z	vx	vy	vz
0.0	30.0	0.0	0.0	0.0	229.1	0.0
0.01	29.92	2.288	0.0	-16.73	228.5	0.0
0.02	29.67	4.564	0.0	-33.36	226.6	0.0
0.03	29.25	6.814	0.0	-49.78	223.4	0.0
0.04	28.67	9.026	0.0	-65.9	219.0	0.0
0.05	27.93	11.19	0.0	-81.63	213.4	0.0
0.06	27.04	13.29	0.0	-96.86	206.6	0.0
0.07	26.0	15.31	0.0	-111.5	198.7	0.0
0.08	24.81	17.26	0.0	-125.5	189.7	0.0
0.09	23.49	19.1	0.0	-138.7	179.8	0.0
0.1	22.04	20.85	0.0	-151.2	168.9	0.0
0.11	20.47	22.48	0.0	-162.8	157.1	0.0
0.12	18.79	23.98	0.0	-173.4	144.5	0.0
0.13	17.01	25.36	0.0	-183.0	131.2	0.0
0.14	15.14	26.61	0.0	-191.7	117.3	0.0
0.15	13.18	27.71	0.0	-199.2	102.8	0.0
0.16	11.16	28.66	0.0	-205.7	87.81	0.0
0.17	9.076	29.46	0.0	-211.0	72.46	0.0
0.18	6.945	30.11	0.0	-215.2	56.8	0.0
0.19	4.777	30.59	0.0	-218.3	40.92	0.0
0.2	2.584	30.92	0.0	-220.2	24.9	0.0
0.21	0.3785	31.09	0.0	-221.0	8.827	0.0
0.22	-1.829	31.1	0.0	-220.6	-7.226	0.0
0.23	-4.028	30.95	0.0	-219.1	-23.18	0.0
0.24	-6.206	30.64	0.0	-216.5	-38.96	0.0
0.25	-8.352	30.17	0.0	-212.8	-54.48	0.0
0.26	-10.46	29.55	0.0	-208.0	-69.69	0.0
0.27	-12.51	28.78	0.0	-202.1	-84.5	0.0
0.28	-14.49	27.86	0.0	-195.3	-98.86	0.0
0.29	-16.41	26.8	0.0	-187.5	-112.7	0.0
0.3	-18.24	25.61	0.0	-178.7	-125.9	0.0
0.31	-19.98	24.29	0.0	-169.1	-138.5	0.0
0.32	-21.62	22.84	0.0	-158.6	-150.4	0.0
0.33	-23.14	21.28	0.0	-147.3	-161.6	0.0
0.34	-24.56	19.62	0.0	-135.2	-171.9	0.0
0.35	-25.85	17.85	0.0	-122.5	-181.4	0.0
0.36	-27.0	15.99	0.0	-109.1	-190.0	0.0
0.37	-28.02	14.06	0.0	-95.11	-197.6	0.0
0.38	-28.9	12.05	0.0	-80.62	-204.2	0.0
0.39	-29.63	9.976	0.0	-65.68	-209.9	0.0
0.4	-30.21	7.854	0.0	-50.36	-214.4	0.0
0.41	-30.64	5.693	0.0	-34.73	-217.9	0.0
0.42	-30.91	3.502	0.0	-18.85	-220.3	0.0
0.43	-31.02	1.293	0.0	-2.813	-221.5	0.0
0.44	-30.96	-0.9224	0.0	13.31	-221.6	0.0
0.45	-30.75	-3.133	0.0	29.44	-220.5	0.0
0.46	-30.38	-5.327	0.0	45.49	-218.3	0.0
0.47	-29.84	-7.494	0.0	61.39	-214.9	0.0
0.48	-29.15	-9.621	0.0	77.03	-210.4	0.0
0.49	-28.3	-11.7	0.0	92.35	-204.7	0.0
0.5	-27.3	-13.71	0.0	107.2	-197.9	0.0
0.51	-26.16	-15.65	0.0	121.6	-190.0	0.0
0.52	-24.87	-17.5	0.0	135.4	-181.0	0.0
0.53	-23.45	-19.26	0.0	148.6	-171.0	0.0
0.54	-21.91	-20.92	0.0	161.0	-160.1	0.0
0.55	-20.24	-22.46	0.0	172.5	-148.2	0.0
0.56	-18.46	-23.88	0.0	183.2	-135.4	0.0
0.57	-16.58	-25.17	0.0	192.8	-121.9	0.0
0.58	-14.61	-26.31	0.0	201.5	-107.6	0.0
0.59	-12.56	-27.32	0.0	209.0	-92.75	0.0
0.6	-10.44	-28.17	0.0	215.4	-77.32	0.0
0.61	-8.255	-28.86	0.0	220.6	-61.42	0.0
0.62	-6.029	-29.39	0.0	224.6	-45.17	0.0
0.63	-3.769	-29.76	0.0	227.3	-28.65	0.0
0.64	-1.489	-29.97	0.0	228.8	-11.98	0.0
0.65	0.8004	-30.0	0.0	229.0	4.762	0.0
0.66	3.085	-29.87	0.0	227.9	21.46	0.0
0.67	5.352	-29.57	0.0	225.6	38.01	0.0
0.68	7.59	-29.11	0.0	222.0	54.31	0.0
0.69	9.786	-28.49	0.0	217.2	70.28	0.0
0.7	11.93	-27.71	0.0	211.1	85.81	0.0
0.71	14.0	-26.77	0.0	204.0	100.8	0.0
0.72	16.0	-25.69	0.0	195.8	115.2	0.0
0.73	17.91	-24.47	0.0	186.5	128.9	0.0
0.74	19.73	-23.12	0.0	176.3	141.9	0.0
0.75	21.43	-21.64	0.0	165.1	154.0	0.0
0.76	23.02	-20.04	0.0	153.1	165.3	0.0
0.77	24.49	-18.34	0.0	140.4	175.6	0.0
0.78	25.83	-16.54	0.0	126.9	184.9	0.0
0.79	27.03	-14.65	0.0	112.9	193.2	0.0
0.8	28.08	-12.68	0.0	98.3	200.4	0.0
0.81	28.99	-10.64	0.0	83.29	206.5	0.0
0.82	29.75	-8.554	0.0	67.91	211.6	0.0
0.83	30.35	-6.419	0.0	52.25	215.5	0.0
0.84	30.79	-4.251	0.0	36.39	218.2	0.0
0.85	31.08	-2.06	0.0	20.41	219.9	0.0
0.86	31.2	0.1407	0.0	4.384	220.3	0.0
0.87	31.16	2.341	0.0	-11.6	219.7	0.0
0.88	30.97	4.529	0.0	-27.48	218.0	0.0
0.89	30.61	6.695	0.0	-43.16	215.1	0.0
0.9	30.11	8.826	0.0	-58.59	211.2	0.0
0.91	29.44	10.91	0.0	-73.69	206.2	0.0
0.92	28.63	12.94	0.0	-88.39	200.1	0.0
0.93	27.68	14.91	0.0	-102.6	193.1	0.0
0.94	26.58	16.8	0.0	-116.3	185.1	0.0
0.95	25.36	18.61	0.0	-129.4	176.1	0.0
0.96	24.0	20.32	0.0	-141.9	166.3	0.0
0.97	22.52	21.93	0.0	-153.6	155.6	0.0
0.98	20.93	23.43	0.0	-164.6	144.2	0.0
0.99	19.23	24.81	0.0	-174.8	131.9	0.0
1.0	17.44	26.06	0.0	-184.1	119.0	0.0
1.01	15.55	27.18	0.0	-192.5	105.5	0.0
1.02	13.59	28.17	0.0	-199.9	91.37	0.0
1.03	11.56	29.01	0.0	-206.4	76.74	0.0
1.04	9.47	29.7	0.0	-211.8	61.66	0.0
1.05	7.331	30.24	0.0	-216.1	46.21	0.0
1.06	5.153	30.62	0.0	-219.3	30.46	0.0
1.07	2.949	30.85	0.0	-221.4	14.48	0.0
1.08	0.7302	30.91	0.0	-222.4	-1.646	0.0
1.09	-1.493	30.82	0.0	-222.2	-17.84	0.0
1.1	-3.708	30.56	0.0	-220.8	-34.02	0.0
1.11	-5.904	30.14	0.0	-218.3	-50.11	0.0
1.12	-8.068	29.56	0.0	-214.6	-66.0	0.0
