Time	x	y	z	vx	vy	vz
0.0	-98.0	-120.0	-127.0	-31.68	177.8	95.05
0.01	-98.31	-118.2	-126.0	-30.96	178.5	95.86
0.02	-98.62	-116.4	-125.1	-30.22	179.2	96.68
0.03	-98.92	-114.6	-124.1	-29.46	179.9	97.51
0.04	-99.21	-112.8	-123.1	-28.69	180.6	98.35
0.05	-99.49	-111.0	-122.1	-27.9	181.3	99.2
0.06	-99.77	-109.2	-121.1	-27.1	181.9	100.1
0.07	-100.0	-107.4	-120.1	-26.27	182.6	100.9
0.08	-100.3	-105.6	-119.1	-25.43	183.3	101.8
0.09	-100.5	-103.7	-118.1	-24.57	184.0	102.7
0.1	-100.8	-101.9	-117.1	-23.69	184.7	103.6
0.11	-101.0	-100.0	-116.0	-22.79	185.4	104.5
0.12	-101.2	-98.17	-115.0	-21.87	186.1	105.4
0.13	-101.5	-96.3	-113.9	-20.92	186.8	106.4
0.14	-101.7	-94.43	-112.9	-19.96	187.5	107.3
0.15	-101.9	-92.55	-111.8	-18.98	188.2	108.3
0.16	-102.0	-90.67	-110.7	-17.97	188.8	109.2
0.17	-102.2	-88.78	-109.6	-16.94	189.5	110.2
0.18	-102.4	-86.88	-108.5	-15.88	190.2	111.2
0.19	-102.5	-84.97	-107.4	-14.8	190.9	112.2
0.2	-102.7	-83.06	-106.2	-13.7	191.6	113.2
0.21	-102.8	-81.14	-105.1	-12.56	192.2	114.3
0.22	-102.9	-79.21	-104.0	-11.41	192.9	115.3
0.23	-103.0	-77.28	-102.8	-10.22	193.6	116.3
0.24	-103.1	-75.34	-101.6	-9.006	194.3	117.4
0.25	-103.2	-73.4	-100.5	-7.763	194.9	118.5
0.26	-103.3	-71.44	-99.26	-6.49	195.6	119.6
0.27	-103.3	-69.49	-98.06	-5.186	196.2	120.7
0.28	-103.4	-67.52	-96.85	-3.85	196.9	121.8
0.29	-103.4	-65.55	-95.62	-2.481	197.5	122.9
0.3	-103.4	-63.57	-94.39	-1.079	198.1	124.0
0.31	-103.4	-61.59	-93.14	0.3573	198.7	125.2
0.32	-103.4	-59.6	-91.88	1.829	199.3	126.4
0.33	-103.4	-57.6	-90.62	3.338	199.9	127.5
0.34	-103.4	-55.6	-89.33	4.884	200.5	128.7
0.35	-103.3	-53.59	-88.04	6.468	201.1	129.9
0.36	-103.2	-51.58	-86.74	8.092	201.7	131.1
0.37	-103.1	-49.56	-85.42	9.757	202.2	132.4
0.38	-103.0	-47.53	-84.09	11.46	202.7	133.6
0.39	-102.9	-45.5	-82.75	13.21	203.2	134.9
0.4	-102.8	-43.47	-81.39	15.01	203.7	136.1
0.41	-102.6	-41.43	-80.02	16.84	204.2	137.4
0.42	-102.4	-39.38	-78.64	18.73	204.7	138.7
0.43	-102.2	-37.33	-77.25	20.66	205.1	140.0
0.44	-102.0	-35.28	-75.84	22.64	205.5	141.3
0.45	-101.8	-33.22	-74.42	24.67	205.9	142.6
0.46	-101.5	-31.16	-72.99	26.76	206.2	143.9
0.47	-101.2	-29.1	-71.55	28.89	206.6	145.3
0.48	-100.9	-27.03	-70.09	31.08	206.8	146.6
0.49	-100.6	-24.96	-68.61	33.32	207.1	148.0
0.5	-100.3	-22.89	-67.13	35.62	207.3	149.3
0.51	-99.91	-20.82	-65.63	37.98	207.5	150.7
0.52	-99.52	-18.74	-64.11	40.39	207.6	152.1
0.53	-99.11	-16.66	-62.58	42.86	207.7	153.4
0.54	-98.66	-14.59	-61.04	45.4	207.8	154.8
0.55	-98.2	-12.51	-59.49	47.99	207.8	156.2
0.56	-97.7	-10.43	-57.92	50.64	207.8	157.6
0.57	-97.18	-8.354	-56.34	53.36	207.6	159.0
0.58	-96.64	-6.278	-54.74	56.14	207.5	160.3
0.59	-96.06	-4.205	-53.13	58.99	207.3	161.7
0.6	-95.46	-2.134	-51.51	61.9	207.0	163.1
0.61	-94.82	-0.06571	-49.87	64.87	206.6	164.4
0.62	-94.16	1.998	-48.22	67.91	206.2	165.8
0.63	-93.46	4.057	-46.55	71.01	205.7	167.1
0.64	-92.74	6.111	-44.87	74.18	205.1	168.4
