# Time	z_disp	vz_disp
0.000	0.695	56.347
14.286	0.707	56.299
28.571	0.704	56.328
42.857	0.709	56.543
57.143	0.707	56.954
71.429	0.711	57.213
85.714	0.716	57.491
100.000	0.719	57.438
114.286	0.727	57.551
128.571	0.721	57.584
142.857	0.727	57.872
157.143	0.734	58.593
171.429	0.733	57.919
185.714	0.748	57.521
200.000	0.745	58.210
214.286	0.747	58.169
228.571	0.755	58.429
242.857	0.756	58.681
257.143	0.759	59.335
271.429	0.771	59.178
285.714	0.775	59.494
300.000	0.771	59.343
314.286	0.784	59.809
328.571	0.782	59.591
342.857	0.788	59.805
357.143	0.784	59.562
371.429	0.790	60.473
385.714	0.787	60.609
400.000	0.783	60.298
414.286	0.791	60.281
428.571	0.786	60.291
442.857	0.792	60.712
457.143	0.787	61.002
471.429	0.793	60.816
485.714	0.799	61.035
500.000	0.795	60.932
514.286	0.799	61.368
528.571	0.802	61.266
542.857	0.799	61.390
557.143	0.798	61.375
571.429	0.808	61.988
585.714	0.807	61.853
600.000	0.807	62.128
614.286	0.806	62.558
628.571	0.818	61.929
642.857	0.822	62.064
657.143	0.832	62.776
671.429	0.835	62.177
685.714	0.840	62.213
700.000	0.834	62.209
714.286	0.839	62.240
728.571	0.840	63.142
742.857	0.829	63.231
757.143	0.840	63.227
771.429	0.835	63.413
785.714	0.834	63.170
800.000	0.845	63.466
814.286	0.840	63.104
828.571	0.850	63.390
842.857	0.850	63.695
857.143	0.850	63.231
871.429	0.852	63.951
885.714	0.842	63.927
900.000	0.854	63.913
914.286	0.859	63.914
928.571	0.862	64.265
942.857	0.860	64.439
957.143	0.860	64.455
971.429	0.869	64.168
985.714	0.871	64.626
1000.000	0.881	64.529
1014.290	0.879	64.358
1028.570	0.888	64.313
1042.860	0.891	64.637
1057.140	0.887	64.931
1071.430	0.883	65.272
1085.710	0.889	65.191
1100.000	0.890	64.919
1114.290	0.883	64.762
1128.570	0.896	65.150
1142.860	0.894	65.266
1157.140	0.892	65.701
1171.430	0.898	65.797
1185.710	0.899	65.195
1200.000	0.900	65.074
1214.290	0.901	65.599
1228.570	0.907	65.313
1242.860	0.897	65.233
1257.140	0.896	65.803
1271.430	0.907	65.863
1285.710	0.903	65.536
1300.000	0.895	66.260
1314.290	0.901	66.476
1328.570	0.899	66.134
1342.860	0.902	66.047
1357.140	0.914	66.038
1371.430	0.912	66.608
1385.710	0.908	66.658
1400.000	0.908	66.221
1414.290	0.920	66.375
1428.570	0.921	66.335
1442.860	0.921	66.591
1457.140	0.925	66.537
1471.430	0.928	66.770
1485.710	0.927	67.073
1500.000	0.921	66.677
1514.290	0.924	66.740
1528.570	0.936	67.304
1542.860	0.943	67.024
1557.140	0.940	67.635
1571.430	0.943	67.605
1585.710	0.949	67.168
1600.000	0.948	67.667
1614.290	0.950	67.128
1628.570	0.953	67.220
1642.860	0.958	67.326
1657.140	0.962	66.987
1671.430	0.965	67.576
1685.710	0.956	68.132
1700.000	0.958	67.443
1714.290	0.963	67.764
1728.570	0.965	67.649
1742.860	0.964	67.843
1757.140	0.957	67.609
1771.430	0.965	67.881
1785.710	0.965	67.243
1800.000	0.964	68.117
1814.290	0.967	68.029
1828.570	0.965	68.221
1842.860	0.965	68.526
1857.140	0.975	67.892
1871.430	0.974	68.303
1885.710	0.981	68.429
1900.000	0.980	68.592
1914.290	0.985	68.599
1928.570	0.989	68.573
1942.860	0.991	68.150
1957.140	0.990	68.425
1971.430	0.999	68.748
1985.710	0.993	68.495
2000.000	0.999	68.679
2014.290	1.003	68.565
2028.570	1.006	68.670
2042.860	1.009	69.105
2057.140	1.005	69.260
2071.430	1.012	69.270
2085.710	1.020	68.774
2100.000	1.009	69.222
2114.290	1.012	69.275
2128.570	1.012	69.136
2142.860	1.001	69.934
2157.140	1.006	69.704
2171.430	1.003	69.353
2185.710	1.008	69.666
2200.000	1.007	69.290
2214.290	1.008	69.437
2228.570	1.008	69.861
2242.860	1.004	69.822
2257.140	1.006	69.709
2271.430	1.015	69.981
2285.710	1.017	69.553
2300.000	1.021	69.851
2314.290	1.019	69.730
2328.570	1.025	70.017
2342.860	1.033	70.259
2357.140	1.031	69.850
2371.430	1.032	69.357
2385.710	1.030	69.792
2400.000	1.033	70.476
2414.290	1.037	70.201
2428.570	1.038	70.369
2442.860	1.038	70.652
2457.140	1.043	70.498
2471.430	1.041	71.145
2485.710	1.039	70.815
2500.000	1.038	70.458
2514.290	1.039	70.918
2528.570	1.051	70.571
2542.860	1.054	70.681
2557.140	1.053	70.567
2571.430	1.052	70.712
2585.710	1.058	70.941
2600.000	1.052	70.970
2614.290	1.054	71.123
2628.570	1.062	71.065
2642.860	1.062	71.339
