# Time	z_disp	vz_disp
0.000	0.664	73.257
14.286	0.668	73.589
28.571	0.667	73.954
42.857	0.668	73.218
57.143	0.663	73.638
71.429	0.674	73.267
85.714	0.669	73.839
100.000	0.673	73.176
114.286	0.671	72.767
128.571	0.666	73.138
142.857	0.675	73.617
157.143	0.684	73.425
171.429	0.679	73.866
185.714	0.674	74.087
200.000	0.683	74.065
214.286	0.685	74.125
228.571	0.693	74.435
242.857	0.686	74.684
257.143	0.703	74.390
271.429	0.707	74.005
285.714	0.700	73.157
300.000	0.707	74.063
314.286	0.706	74.405
328.571	0.701	74.189
342.857	0.700	74.523
357.143	0.710	74.944
371.429	0.713	74.784
385.714	0.721	74.752
400.000	0.718	74.313
414.286	0.724	74.151
428.571	0.715	74.424
442.857	0.717	74.433
457.143	0.714	75.201
471.429	0.715	75.065
485.714	0.716	74.353
500.000	0.719	74.601
514.286	0.722	74.493
528.571	0.720	74.035
542.857	0.730	74.727
557.143	0.710	74.860
571.429	0.720	74.686
585.714	0.720	75.314
600.000	0.725	74.519
614.286	0.721	74.120
628.571	0.742	74.772
642.857	0.732	74.410
657.143	0.734	75.364
671.429	0.735	75.304
685.714	0.741	74.889
700.000	0.749	75.349
714.286	0.754	75.111
728.571	0.746	75.433
742.857	0.755	75.198
757.143	0.750	75.155
771.429	0.747	75.333
785.714	0.744	75.558
800.000	0.749	75.127
814.286	0.746	75.066
828.571	0.755	74.796
842.857	0.761	76.010
857.143	0.776	75.045
871.429	0.771	74.861
885.714	0.777	75.399
900.000	0.785	74.963
914.286	0.772	75.450
928.571	0.777	75.926
942.857	0.773	75.628
957.143	0.772	76.196
971.429	0.773	75.686
985.714	0.777	75.908
1000.000	0.778	75.251
1014.290	0.770	76.228
1028.570	0.772	76.427
1042.860	0.772	75.874
1057.140	0.769	75.584
1071.430	0.767	76.288
1085.710	0.774	75.632
1100.000	0.782	76.078
1114.290	0.771	75.808
1128.570	0.782	76.288
1142.860	0.786	75.675
1157.140	0.795	76.228
1171.430	0.789	76.393
1185.710	0.797	75.925
1200.000	0.797	76.766
1214.290	0.801	75.928
1228.570	0.809	75.877
1242.860	0.814	76.265
1257.140	0.818	76.083
1271.430	0.817	75.424
1285.710	0.816	76.044
1300.000	0.817	76.053
1314.290	0.816	76.676
1328.570	0.811	76.584
1342.860	0.812	75.714
1357.140	0.809	76.700
1371.430	0.809	76.071
1385.710	0.805	76.031
1400.000	0.816	76.168
1414.290	0.812	76.613
1428.570	0.805	76.686
